https://safebooru.org//images/2333/f55ed2e44d79debf99085ecdb5245724c0618cfa.jpg,Sarah Fortune
https://safebooru.org//images/2387/99610a340b22ffbc70001b8eda5e4be2820821e8.jpg,Hatsune Miku
https://safebooru.org//images/2395/45d18acd4076c938f887829066f862745da9d35f.jpg,Artoria Pendragon
https://safebooru.org//images/1150/6bd820a7cdee25f356a1a57aed6bada355b11516.jpg,Emerald Herald
https://safebooru.org//images/2395/48edd892878d2d2e495fdeb379512b94a8c6d216.png,Hayashimo Kai
https://safebooru.org//images/2395/922ed41bf5b5769d3a215e7251111dcbc6b80206.jpg,Rider(Medusa)
https://safebooru.org//images/1728/e180b653dfb8f5ef764193b6aa104d533abcefe3.jpg,Boa Hancock
https://safebooru.org//images/2382/92d3be8983cc613e6cea79487246a5d6e3aa89df.jpg,Brigitte Lindholm
https://safebooru.org//images/1549/7cee7b944cab47a03856bc10ad7e1bbea049c85a.jpg,Angela Ziegler
https://safebooru.org//images/1802/60fdb61bd80ae8103f2f6a37df34a16b2aad05c6.png,Olivia Colomar
https://safebooru.org//images/1774/92a1eb8c86a958cf4f8f7b8c1ca6165ca0d698a3.jpg,Hyuuga Hinata
https://safebooru.org//images/2310/7a14acda023c770a774913d404cbf4239d947d8b.jpg,Tsunade
https://safebooru.org//images/2281/036df5edc241cfc0a2f4b93c519412703f092c87.png,Haruno Sakura
https://safebooru.org//images/1897/110f461dbd4fcd9c52710b0792f59af7918ff393.jpeg,Yamanaka Ino
https://safebooru.org//images/2348/ba1c457ec3feca6ca9868d8bb271f4ce236c9eb8.jpg,Violet Evergarden
https://safebooru.org//images/623/666bdbbea83dcbfd0b7b4f73abbfdfcf899d5f68.jpg,Kuchiki Rukia
https://safebooru.org//images/2092/476c4c9173146bee6122e1e86b4bfc0c312090ac.png,Inoue Orihime
https://safebooru.org//images/2166/0a9738be7a9789563c3e5d876a2930eed1cf4992.jpg,Shihouin Yoruichi
https://safebooru.org//images/1654/6ebea8191b592d9531e0c7654bc22911236363f8.png,Matsumoto Rangiku
